Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,fachadas,Tipo,Área Lote,Area Construida,Area Privada,Etapa,Plano,SVG Code,X COordinate,Y coordinate,Width,Est,Nave,Numero,Tipología,Tipologia2,piso
1,1,6915da8e8d3405bb37b9cfc9,6915da8e8d3405bb37b9cefc,6915da8e8d3405bb37b9d1f9,false,false,Thu Jul 17 2025 20:38:35 GMT+0000 (Coordinated Universal Time),Thu Feb 12 2026 20:40:41 GMT+0000 (Coordinated Universal Time),Thu Feb 12 2026 20:48:16 GMT+0000 (Coordinated Universal Time),vista-occidente,,263.16,152.52,118.32,2,,"<svg width=""100%"" height=""100%"" viewBox=""0 0 50 367"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M0 0V367H50V0H0Z"" fill=""#1C1842"" fill-opacity=""0.4""/></svg>",32.8,22,1.96,vendida,,1,e1,,
10,10,6915da8e8d3405bb37b9cfc9,6915da8e8d3405bb37b9cefc,6915da8e8d3405bb37b9d201,false,false,Thu Jul 17 2025 20:38:35 GMT+0000 (Coordinated Universal Time),Thu Feb 12 2026 20:47:34 GMT+0000 (Coordinated Universal Time),Thu Feb 12 2026 20:48:16 GMT+0000 (Coordinated Universal Time),vista-occidente,,481.55,179.31,135.95,3,,"<svg width=""100%"" height=""100%"" viewBox=""0 0 123 349"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M123 0H0V178H41.5V284H71V349H123V0Z"" fill=""#422E18"" fill-opacity=""0.4""/></svg>",54.5,4.5,4.83,pronto,,10,e1,,
11,11,6915da8e8d3405bb37b9cfc9,6915da8e8d3405bb37b9cefc,6915da8e8d3405bb37b9d203,false,false,Thu Jul 17 2025 20:38:35 GMT+0000 (Coordinated Universal Time),Thu Feb 12 2026 20:48:08 GMT+0000 (Coordinated Universal Time),Thu Feb 12 2026 20:48:16 GMT+0000 (Coordinated Universal Time),vista-occidente,,481.55,179.31,135.95,3,,"<svg width=""100%"" height=""100%"" viewBox=""0 0 121 349"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M0.000205994 0H121V178H80.0002V285.5H50.5002V349H0.000205994V0Z"" fill=""#422E18"" fill-opacity=""0.4""/></svg>",49.1,4.5,4.75,pronto,,11,e1,,
12,12,6915da8e8d3405bb37b9cfc9,6915da8e8d3405bb37b9cefc,6915da8e8d3405bb37b9d204,false,false,Thu Jul 17 2025 20:38:35 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:08:59 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:09 GMT+0000 (Coordinated Universal Time),vista-occidente,,232.26,152.52,118.32,1,,"<svg width=""100%"" height=""100%"" viewBox=""0 0 51 349"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M0 0V349H51V0H0Z"" fill=""#184238"" fill-opacity=""0.4""/></svg>",47.1,4.5,2,vendida,,12,e1,,
13,13,6915da8e8d3405bb37b9cfc9,6915da8e8d3405bb37b9cefc,6915da8e8d3405bb37b9d205,false,false,Thu Jul 17 2025 20:38:35 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:00 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:09 GMT+0000 (Coordinated Universal Time),vista-occidente,,232.26,152.52,118.32,1,,"<svg width=""100%"" height=""100%"" viewBox=""0 0 50 349"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M0 0V349H50V0H0Z"" fill=""#184238"" fill-opacity=""0.4""/></svg>",45.1,4.5,1.96,vendida,,13,e1,,
14,14,6915da8e8d3405bb37b9cfc9,6915da8e8d3405bb37b9cefc,6915da8e8d3405bb37b9d206,false,false,Thu Jul 17 2025 20:38:36 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:00 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:09 GMT+0000 (Coordinated Universal Time),vista-occidente,,232.26,152.52,118.32,1,,"<svg width=""100%"" height=""100%"" viewBox=""0 0 50 349"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M0 0V349H50V0H0Z"" fill=""#184238"" fill-opacity=""0.4""/></svg>",43.2,4.5,1.96,vendida,,14,e1,,
15,15,6915da8e8d3405bb37b9cfc9,6915da8e8d3405bb37b9cefc,6915da8e8d3405bb37b9d208,false,false,Thu Jul 17 2025 20:38:36 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:00 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:09 GMT+0000 (Coordinated Universal Time),vista-occidente,,232.26,152.52,118.32,1,,"<svg width=""100%"" height=""100%"" viewBox=""0 0 50 349"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M0 0V349H50V0H0Z"" fill=""#184238"" fill-opacity=""0.4""/></svg>",41.2,4.5,1.96,vendida,,15,e1,,
16,16,6915da8e8d3405bb37b9cfc9,6915da8e8d3405bb37b9cefc,6915da8e8d3405bb37b9d209,false,false,Thu Jul 17 2025 20:38:36 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:00 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:09 GMT+0000 (Coordinated Universal Time),vista-occidente,,232.26,152.52,118.32,1,,"<svg width=""100%"" height=""100%"" viewBox=""0 0 51 349"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M0 0V349H51V0H0Z"" fill=""#184238"" fill-opacity=""0.4""/></svg>",39.2,4.5,2,vendida,,16,e1,,
17,17,6915da8e8d3405bb37b9cfc9,6915da8e8d3405bb37b9cefc,6915da8e8d3405bb37b9d20a,false,false,Thu Jul 17 2025 20:38:36 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:00 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:09 GMT+0000 (Coordinated Universal Time),vista-occidente,,232.26,152.52,118.32,1,,"<svg width=""100%"" height=""100%"" viewBox=""0 0 50 349"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M0 0V349H50V0H0Z"" fill=""#184238"" fill-opacity=""0.4""/></svg>",37.3,4.5,1.96,vendida,,17,e1,,
18,25,6915da8e8d3405bb37b9cfc9,6915da8e8d3405bb37b9cefc,6915da8e8d3405bb37b9d28a,false,false,Thu Jul 17 2025 20:38:36 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:00 GMT+0000 (Coordinated Universal Time),Wed Feb 04 2026 22:09:09 GMT+0000 (Coordinated Universal Time),vista-occidente,,248.17,152.52,118.32,1,,"<svg width=""100%"" height=""100%"" viewBox=""0 0 50 379"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><path d=""M0 0V379H20.5L26.5 376.5L32 372.5L37 366.5L40 358V349H50V0H0Z"" fill=""#184238"" fill-opacity=""0.4""/></svg>",35.3,4.5,1.96,vendida,,18,e1,,
